Id,XGBoostMila,XGBoostGor,CatboostMila,CatBoostGor
1461,122757.30093173876,121675.66772142994,129696.10442791178,121675.66772142994
1462,150104.76214953858,161976.26701012635,156542.372073444,161976.26701012635
1463,188152.84629399536,187524.1252076147,188521.11529968912,187524.1252076147
1464,188369.64622464534,186986.39944599383,197198.97662885024,186986.39944599383
1465,186049.63565989962,187221.33709727388,186054.07077365767,187221.33709727388
1466,182436.0567909368,176010.87466222758,174922.87637162147,176010.87466222758
1467,174139.28111744035,175792.29294523044,179626.04107315835,175792.29294523044
1468,169357.26858660133,168673.69791450995,165798.92982956866,168673.69791450995
1469,173082.02215806185,185701.1351864957,168881.14506550113,185701.1351864957
1470,112130.42188875153,127723.10095833646,123719.81575277218,127723.10095833646
1471,201100.78739263964,203827.0555155323,203366.30341980935,203827.0555155323
1472,94015.69421410988,88450.09064838408,95413.63712728099,88450.09064838408
1473,94263.45239282434,101325.94039807204,94747.82876325489,101325.94039807204
1474,154071.94667551204,150661.73207814,148483.34327693365,150661.73207814
1475,133071.4314539783,138329.59145173393,117867.99036642096,138329.59145173393
1476,391397.419041707,347229.65204076795,386598.1204774394,347229.65204076795
1477,267600.9300488021,265279.4465803991,254178.4418225259,265279.4465803991
1478,306398.83943768515,289929.7260872381,302422.7497840392,289929.7260872381
1479,274031.92367899994,282548.8168346386,273085.7889349657,282548.8168346386
1480,481446.6724480753,499752.6449564015,525899.8040617041,499752.6449564015
1481,330397.20061597705,314200.8245401132,318520.956416322,314200.8245401132
1482,201085.97831017038,204381.878095544,210668.65874793424,204381.878095544
1483,161006.5853574699,168495.28936305514,157032.5213612945,168495.28936305514
1484,167436.05725655446,166468.2942377208,167705.84978951438,166468.2942377208
1485,174406.34425420055,175256.22544843805,175383.27172300985,175256.22544843805
1486,192577.6725910909,196367.30690785192,195645.26928509484,196367.30690785192
1487,350813.3820027317,332992.0377085116,309876.52318363433,332992.0377085116
1488,245892.4687106693,223637.9891620069,243328.84696602868,223637.9891620069
1489,208779.9242017375,212430.74014126023,207535.27176056747,212430.74014126023
1490,203999.91535688832,201550.0584401468,206540.63107064966,201550.0584401468
1491,190418.64705548287,189805.53176052333,189756.20250184674,189805.53176052333
1492,86658.86502417794,93878.811730074,88259.52921976348,93878.811730074
1493,195238.9107260699,194159.9149262208,186350.08604807948,194159.9149262208
1494,298872.72877578926,311302.45782904583,298003.4294841275,311302.45782904583
1495,292613.1787049973,307464.65385677153,285406.2006517366,307464.65385677153
1496,222159.65959662994,230192.21049602647,230969.87952610533,230192.21049602647
1497,177082.87421337047,191121.2158034588,184094.22259936325,191121.2158034588
1498,157096.19276538937,161746.13719273725,155236.47886380172,161746.13719273725
1499,152367.43221699784,162653.43076446984,155783.34982766575,162653.43076446984
1500,145180.95277713725,159452.1089225401,149259.98063698897,159452.1089225401
1501,166382.60623956172,181039.26306698512,177853.26667191842,181039.26306698512
1502,158530.23101739783,161836.0740345595,153340.0343941485,161836.0740345595
1503,293436.9243394516,279433.0266933135,290096.7726138897,279433.0266933135
1504,233902.77949662373,244216.7714991161,244989.15745775675,244216.7714991161
1505,221226.93127720573,224509.5106303354,230684.61230066023,224509.5106303354
1506,180305.0230115619,177993.74008408183,179493.29929667417,177993.74008408183
1507,210884.34580330233,202725.86443476123,225656.80760633814,202725.86443476123
1508,189769.38096211737,186427.78383774456,184687.20798483395,186427.78383774456
1509,170657.22676893187,171160.91588396626,164720.94302368767,171160.91588396626
1510,152339.03981760907,155115.7596133135,148648.03881476738,155115.7596133135
1511,145896.4084168464,150307.94994315132,147202.75490671792,150307.94994315132
1512,164074.51853009386,170547.22111543655,167531.2382110349,170547.22111543655
1513,150283.68709014397,133414.85585070093,144404.54201305597,133414.85585070093
1514,180213.58759416372,172553.93932310317,170690.61154957642,172553.93932310317
1515,191708.24858027668,200363.19115210365,187836.03355044805,200363.19115210365
1516,168760.48587326193,161358.9059459125,160952.3956119438,161358.9059459125
1517,148926.74705219563,162660.51346661168,151230.25337171432,162660.51346661168
1518,121942.8140107677,124321.62920908471,126371.77128634485,124321.62920908471
1519,218800.65891677866,218565.86352444143,231843.48631545628,218565.86352444143
1520,135261.9840147704,141961.0604185365,133792.21414138243,141961.0604185365
1521,139984.75632523623,143652.4778664635,141617.66232275384,143652.4778664635
1522,163881.59608209363,164774.4004548579,170509.11729025413,164774.4004548579
1523,109529.21278405606,104356.26812957364,106239.16987601697,104356.26812957364
1524,131512.74634449044,129652.36792351028,124540.92369486933,129652.36792351028
1525,125425.86029000656,128188.55376513206,127213.19608174721,128188.55376513206
1526,127125.52156779407,109819.0068890205,125082.21369245164,109819.0068890205
1527,103225.2124725452,103643.54186749694,113169.82680567288,103643.54186749694
1528,136499.87208885833,129605.44114290152,142673.53296747114,129605.44114290152
